ATL;MCI;M80;5:0;8:35;12:35
ATL;MEX;M80;6:5;7:15;12:20
ATL;MIA;738;1:45;6:0;7:45
ATL;OKC;M80;4:15;20:25;23:40
ATL;ORD;CR7;2:10;13:25;14:35
ATL;PSP;M80;7:5;15:50;19:55
ATL;SNA;738;7:5;10:0;14:5
ATL;STL;ER4;1:55;9:15;10:10
AUA;BOS;757;4:55;17:20;21:15
AUA;DFW;757;7:20;8:30;13:50
AUA;JFK;757;4:59;19:0;22:59
AUA;MIA;757;2:50;8:30;10:20
AUH;LHR;777;7:50;2:35;6:25
AUH;MCT;777;1:0;21:20;22:20
AUS;ATL;M80;3:55;7:5;12:0
AUS;BWI;M80;4:40;9:45;15:25
AUS;DCA;M83;4:40;11:15;16:55
AUS;DEN;M80;4:0;6:45;9:45
AUS;DFW;M80;1:0;12:15;13:15
AUS;ELP;M80;3:35;12:15;14:50
AUS;FLL;M80;4:40;6:45;12:25
AUS;IND;M80;4:0;8:25;13:25
AUS;LAX;M80;3:15;7:50;9:5
AUS;MCI;M80;4:55;8:20;13:15
AUS;MCO;M80;4:30;10:15;15:45
AUS;ORD;M80;2:35;6:0;8:35
AUS;PHL;M80;5:30;11:55;18:25
AUS;SDF;M80;3:50;13:0;17:50
AUS;SJC;M83;3:55;14:55;16:50
AUS;STL;ERD;2:5;17:0;19:5
AUS;TUS;M80;4:20;17:45;21:5
AUS;XNA;M83;3:0;18:20;21:20
AXA;SJU;AT7;1:10;8:0;9:10
AXT;CTS;M90;0:55;12:15;13:10
AXT;HND;73H;1:10;14:25;15:35
AXT;ITM;M90;1:30;18:20;19:50
AXT;KIX;M90;1:45;10:25;12:10
AXT;NKM;CRJ;1:10;13:30;14:40
AYQ;ASP;717;0:45;9:35;10:20
AYQ;CNS;717;2:30;14:20;17:20
AYQ;PER;717;2:40;13:30;15:40
AYQ;SYD;73H;3:0;10:55;15:25
AYT;LGW;734;4:45;17:0;19:45
AZO;ORD;ER4;1:0;13:35;13:35
BAH;DOH;744;0:50;20:40;21:30
BAH;DXB;343;1:10;15:35;17:45
BAH;HKG;343;9:25;15:35;6:0
BAH;LHR;744;7:15;2:10;6:25
BBA;PMC;318;1:10;10:30;11:40
BBA;SCL;318;2:20;13:55;16:15
BBA;ZCO;318;1:30;13:0;14:30
BCI;BNE;DH3;2:40;9:50;12:30
BCI;LRE;DH3;0:30;13:45;14:15
BCI;RMA;DH3;1:15;9:50;11:5
BCN;ABC;DH3;1:30;20:50;22:20
BCN;BJZ;CR2;1:35;19:40;21:15
BCN;BLQ;CR2;1:40;9:10;10:50
BCN;BOG;320;12:50;9:40;16:30
BCN;BOS;321;11:20;10:15;15:35
BCN;CCS;320;11:40;9:40;15:50
BCN;CQM;CR2;1:20;13:40;15:0
BCN;EAS;DH3;1:30;7:10;8:40
BCN;EZE;320;14:55;9:55;21:50
BCN;GIG;320;13:15;9:25;19:40
BCN;GRU;320;13:25;21:30;7:55
BCN;GUA;320;13:55;9:40;16:35
BCN;HAV;321;13:5;13:55;21:0
BCN;HEL;320;3:55;10:0;14:55
BCN;IAD;321;11:0;13:55;18:55
BCN;IBZ;CR2;0:55;10:0;10:55
BCN;JFK;321;11:30;13:55;19:25
BCN;JNB;320;13:5;21:30;11:35
BCN;LCY;AR1;2:10;13:15;14:25
BCN;LEI;CR2;1:20;9:15;10:35
BCN;LEN;CR2;1:30;10:10;11:40
BCN;LGW;734;2:15;13:0;14:15
BCN;LHR;320;2:15;9:10;10:25
BCN;LIM;320;14:55;9:55;18:50
BCN;MAD;319;1:10;6:25;7:35
BCN;MAH;CR2;0:50;12:50;13:40
BCN;MEX;320;15:5;9:55;18:0
BCN;MIA;321;12:25;9:25;15:50
BCN;MJV;CR2;1:10;13:55;15:5
BCN;MRS;CR2;1:0;17:5;18:5
BCN;MVD;320;15:40;21:30;10:10
BCN;NCE;CR2;1:20;9:0;10:20
BCN;NTE;CR2;1:35;9:35;11:10
BCN;ORD;320;11:55;9:25;14:20
BCN;ORY;319;1:45;10:10;11:55
BCN;OVD;CR2;1:30;9:20;10:50
BCN;PNA;CR2;1:5;9:25;10:30
BCN;RGS;CR2;1:15;7:0;8:15
BCN;SCL;320;16:5;21:30;9:35
BCN;SDQ;321;11:20;10:15;16:35
BCN;SDR;CR2;1:20;10:0;11:20
BCN;SJO;320;13:35;9:40;16:15
BCN;SJU;321;11:20;10:15;16:35
BCN;SLM;CR2;1:30;16:10;17:40
BCN;TNG;CR2;1:55;9:5;10:0
BCN;TRN;CR2;1:35;9:0;10:35
BCN;UIO;321;13:45;9:25;17:10
BCN;VIT;CR2;1:15;20:0;21:15
BCN;VLC;CR2;0:55;7:0;7:55
BCN;VLL;CR2;1:20;7:0;8:20
BDA;JFK;757;2:19;8:40;9:59
BDA;LGW;777;6:30;20:5;6:35
BDA;MIA;738;3:0;8:0;10:0
BDB;BNE;DH3;0:55;6:45;7:40
BDL;CZM;738;7:55;7:0;13:55
BDL;DFW;738;4:10;13:25;16:35
BDL;MIA;738;3:10;6:0;9:10
BDL;ORD;ERD;2:45;7:35;9:20
BDL;PLS;738;5:50;6:0;11:50
BDL;RDU;ERD;1:50;11:30;13:20
BDL;SJU;757;3:45;8:10;12:55
BDL;SNA;738;8:30;13:25;18:55
BDL;STL;ERD;2:55;11:45;13:40
BEG;LHR;319;3:0;12:50;14:50
BEY;BUD;736;3:15;4:0;6:15
BGI;BOS;757;8:50;15:45;23:35
BGI;JFK;757;5:30;15:30;20:0
BGI;LGW;777;8:5;17:50;5:55
BGI;MIA;757;4:0;8:0;11:0
BGI;SJU;AT7;2:25;9:20;11:45
BHM;DFW;M80;2:5;6:55;9:0
BHM;IAH;M80;4:15;6:55;11:10
BHM;MSP;M80;5:30;11:20;16:50
BHM;PHX;M80;5:35;17:30;22:5
BIO;ALC;CR2;1:15;7:0;8:15
BIO;BJZ;CR2;1:20;10:20;11:40
BIO;LCG;CR2;1:0;7:15;8:15
BIO;MAD;320;1:0;6:45;7:45
BIO;SCQ;CR2;1:0;7:0;8:0
BIO;SVQ;CR2;1:20;7:10;8:30
BIO;VGO;CR2;1:0;10:45;11:45
BIO;VLC;CR2;1:5;8:30;9:35
BJX;DFW;ERD;2:15;13:10;15:25
BJZ;BCN;CR2;1:30;8:10;9:40
BJZ;BIO;CR2;1:20;12:10;13:30
BJZ;MAD;CR2;0:55;17:45;18:40
BKI;HKG;320;2:55;12:5;15:0
BKK;BOM;744;4:15;17:20;20:5
BKK;CMB;773;3:15;22:5;23:50
BKK;DXB;744;8:25;17:20;22:45
BKK;HEL;M11;10:50;0:35;6:25
BKK;HKG;313;2:45;15:15;19:0
BKK;KHI;330;5:30;19:50;23:20
BKK;KIX;767;5:10;23:55;7:5
BKK;LHR;744;12:45;0:10;5:55
BKK;NGO;777;5:15;23:0;6:15
BKK;NRT;744;5:45;8:15;16:0
BKK;SIN;773;2:25;12:45;16:10
BKK;SYD;744;9:0;17:25;6:25
BKQ;LRE;DH3;0:35;9:20;9:55
BLL;BRU;D38;1:35;7:15;8:50
BLL;CDG;D38;1:55;17:5;19:0
BLL;DUS;J31;1:30;7:20;8:50
BLL;HEL;FRJ;2:10;12:35;15:45
BLL;LCY;D38;1:45;9:20;10:5
BLL;MAN;FRJ;1:45;7:40;8:25
BLQ;BCN;CR2;1:35;7:0;8:35
BLQ;LGW;319;2:15;12:15;13:30
BLQ;MAD;320;2:15;12:20;14:35
BLQ;VLC;CR2;2:10;11:50;14:0
BLR;HKG;330;5:40;2:40;10:50
BLR;LHR;744;11:0;7:45;13:15
BLT;BNE;DH3;2:10;8:25;10:35
BLT;EMD;DH3;0:20;15:50;16:10
BLT;ZBL;DH3;0:40;8:25;9:5
BMA;AAR;D38;1:20;9:0;10:20
BME;MEL;73H;4:5;12:15;18:20
BME;PER;717;2:30;10:10;12:40
BMI;DFW;ER4;2:15;15:25;17:40
BMI;ORD;ER4;0:50;6:10;7:0
BNA;ABQ;M80;4:55;7:15;11:10
BNA;BOS;ER3;3:20;12:45;17:5
BNA;DCA;ER3;1:30;12:45;15:15
BNA;DFW;M80;2:10;12:35;14:45
BNA;ELP;M80;4:45;12:35;16:20
BNA;LAX;738;4:30;18:45;21:15
BNA;LGA;M80;2:4;17:55;20:59
BNA;MIA;738;2:10;13:55;17:5
BNA;OKC;M80;4:15;6:0;10:15
BNA;ORD;CR7;1:40;13:10;14:50
BNA;SFO;M83;7:0;16:35;21:35
BNA;STL;ERD;1:15;6:30;7:45
BNA;TPA;738;4:15;13:55;19:10
BNA;UVF;738;6:30;6:15;14:45
BNA;YYZ;M80;4:59;11:0;16:59
BNE;ADL;734;2:40;14:50;18:0
BNE;AKL;734;3:10;9:0;15:10
BNE;ASP;73H;3:5;8:25;11:0
BNE;BCI;DH3;2:20;11:10;13:30
BNE;BDB;DH3;0:55;7:0;7:55
BNE;BKQ;DH3;2:10;6:55;9:5
BNE;BLT;DH3;1:40;14:0;15:40
BNE;CBR;734;1:50;5:10;8:0
BNE;CNS;73H;2:20;7:0;9:20
BNE;CTL;DH3;2:15;6:45;9:0
BNE;DRW;73H;4:5;8:25;12:0
BNE;EMD;DH3;1:45;5:45;7:30
BNE;GLT;DH3;1:15;11:55;13:10
BNE;HKG;333;8:40;13:50;20:30
BNE;HVB;DH3;0:50;7:5;7:55
BNE;ISA;734;2:30;9:0;11:30
BNE;KTA;73H;5:25;12:55;17:20
BNE;LAX;744;12:55;12:5;7:0
BNE;LDH;DH8;1:45;9:20;12:5
BNE;LRE;DH3;3:0;6:55;9:55
BNE;MEL;734;2:20;15:30;18:50
BNE;MKY;100;1:35;9:5;10:40
BNE;MNL;763;7:20;13:55;19:15
BNE;NOU;73H;2:5;14:30;17:35
BNE;NRT;744;8:50;8:55;16:45
BNE;NTL;DH3;1:35;9:40;12:15
